,sample_id,sample_size,dragen_runtime,workflow_runtime,actual_cost
0,SRR1291036,85,98.3,155.32,7.92
1,SRR1291041,75,94.62,147.9,7.18
2,SRR1293295,100,106.03,171.25,8.19
3,SRR1295424,79,95.57,153.72,7.41
4,SRR1295466,82,97.6,152.1,7.59
5,SRR1295515,81,112.03,170.88,8.3
6,SRR1295534,102,124.4,197.47,10.41
7,SRR1295537,101,120.43,188.13,9.54
8,SRR1295544,99,123.15,191.42,10.14
9,SRR1295552,102,102.15,172.72,7.85
10,SRR1295553,98,121.68,194.67,10.16
11,SRR1295568,105,112.02,187.45,9.08
12,SRR1298988,80,101.1,159.4,7.46
