,sample_id,sample_size,dragen_runtime,workflow_runtime,approximate_cost,actual_cost
0,ERR1019034,122,129.33,271.8,10.35,10.16
1,ERR1019042,105,142.83,343.28,11.43,11.35
2,ERR1019043,123,144.48,290.1,11.56,11.58
3,ERR1019044,112,166.03,303.95,13.29,11.28
4,ERR1019048,127,157.73,301.1,12.62,13.11
5,ERR1019052,122,132.82,296.77,10.63,10.85
6,ERR1019054,119,144.95,293.6,11.6,11.83
7,ERR1019058,130,183.75,345.4,14.7,15.31
8,ERR1019059,121,124.73,319.03,9.98,10.14
9,ERR1019062,119,147.4,339.13,11.8,11.71
10,ERR1019068,111,138.35,316.53,11.07,11.49
11,ERR1019072,117,178.33,300.67,14.27,11.32
12,ERR1019074,127,127.97,247.5,10.24,10.54
13,ERR1019075,104,136.75,246.45,10.94,11.41
14,ERR1019076,116,179.92,331.7,14.4,13.77
15,ERR1019077,114,142.97,289.95,11.44,11.63
16,ERR1019078,118,143.88,292.98,11.51,12.22
17,ERR1019082,212,226.15,664.47,18.1,19.79
18,ERR1025601,114,128.42,247.15,10.28,10.3
19,ERR1025602,121,151.87,466.55,12.15,12.78
20,ERR1025611,134,144.4,486.72,11.56,12.19
21,ERR1025612,133,176.12,307.9,14.09,14.32
22,ERR1025613,131,151.02,280.85,12.08,12.88
